Date,Price
2011-12-26,258.5179404761905
2011-12-27,258.5179404761905
2011-12-28,258.5179404761905
2011-12-29,258.5179404761905
2011-12-30,258.5179404761905
2012-01-02,272.9201455357144
2012-01-03,272.9201455357144
2012-01-04,272.9201455357144
2012-01-05,272.9201455357144
2012-01-06,272.9201455357144
2012-01-09,272.9201455357144
2012-01-10,272.9201455357144
2012-01-11,272.9201455357144
2012-01-12,272.9201455357144
2012-01-13,272.9201455357144
2012-01-16,272.9201455357144
2012-01-17,272.9201455357144
2012-01-18,272.9201455357144
2012-01-19,272.9201455357144
2012-01-20,272.9201455357144
2012-01-23,272.9201455357144
2012-01-24,272.9201455357144
2012-01-25,272.9201455357144
2012-01-26,272.9201455357144
2012-01-27,272.9201455357144
2012-01-30,272.9201455357144
2012-01-31,272.9201455357144
2012-02-01,279.5143214285714
2012-02-02,279.5143214285714
2012-02-03,279.5143214285714
2012-02-06,279.5143214285714
2012-02-07,279.5143214285714
2012-02-08,279.5143214285714
2012-02-09,279.5143214285714
2012-02-10,279.5143214285714
2012-02-13,279.5143214285714
2012-02-14,279.5143214285714
2012-02-15,279.5143214285714
2012-02-16,279.5143214285714
2012-02-17,279.5143214285714
2012-02-20,279.5143214285714
2012-02-21,279.5143214285714
2012-02-22,279.5143214285714
2012-02-23,279.5143214285714
2012-02-24,279.5143214285714
2012-02-27,279.5143214285714
2012-02-28,279.5143214285714
2012-02-29,279.5143214285714
2012-03-01,280.7150519642858
2012-03-02,280.7150519642858
2012-03-05,280.7150519642858
2012-03-06,280.7150519642858
2012-03-07,280.7150519642858
2012-03-08,280.7150519642858
2012-03-09,280.7150519642858
2012-03-12,280.7150519642858
2012-03-13,280.7150519642858
2012-03-14,280.7150519642858
2012-03-15,280.7150519642858
2012-03-16,280.7150519642858
2012-03-19,280.7150519642858
2012-03-20,280.7150519642858
2012-03-21,280.7150519642858
2012-03-22,280.7150519642858
2012-03-23,280.7150519642858
2012-03-26,280.7150519642858
2012-03-27,280.7150519642858
2012-03-28,280.7150519642858
2012-03-29,280.7150519642858
2012-03-30,280.7150519642858
2012-04-02,274.2192966071428
2012-04-03,274.2192966071428
2012-04-04,274.2192966071428
2012-04-05,274.2192966071428
2012-04-06,274.2192966071428
2012-04-09,274.2192966071428
2012-04-10,274.2192966071428
2012-04-11,274.2192966071428
2012-04-12,274.2192966071428
2012-04-13,274.2192966071428
2012-04-16,274.2192966071428
2012-04-17,274.2192966071428
2012-04-18,274.2192966071428
2012-04-19,274.2192966071428
2012-04-20,274.2192966071428
2012-04-23,274.2192966071428
2012-04-24,274.2192966071428
2012-04-25,274.2192966071428
2012-04-26,274.2192966071428
2012-04-27,274.2192966071428
2012-04-30,274.2192966071428
2012-05-01,268.8849035714286
2012-05-02,268.8849035714286
2012-05-03,268.8849035714286
2012-05-04,268.8849035714286
2012-05-07,268.8849035714286
2012-05-08,268.8849035714286
2012-05-09,268.8849035714286
2012-05-10,268.8849035714286
2012-05-11,268.8849035714286
2012-05-14,268.8849035714286
2012-05-15,268.8849035714286
2012-05-16,268.8849035714286
2012-05-17,268.8849035714286
2012-05-18,268.8849035714286
2012-05-21,268.8849035714286
2012-05-22,268.8849035714286
2012-05-23,268.8849035714286
2012-05-24,268.8849035714286
2012-05-25,268.8849035714286
2012-05-28,268.8849035714286
2012-05-29,268.8849035714286
2012-05-30,268.8849035714286
2012-05-31,268.8849035714286
2012-06-01,267.3289217687075
2012-06-04,267.3289217687075
2012-06-05,267.3289217687075
2012-06-06,267.3289217687075
2012-06-07,267.3289217687075
2012-06-08,267.3289217687075
2012-06-11,267.3289217687075
2012-06-12,267.3289217687075
2012-06-13,267.3289217687075
2012-06-14,267.3289217687075
2012-06-15,267.3289217687075
2012-06-18,267.3289217687075
2012-06-19,267.3289217687075
2012-06-20,267.3289217687075
2012-06-21,267.3289217687075
2012-06-22,267.3289217687075
2012-06-25,267.3289217687075
2012-06-26,267.3289217687075
2012-06-27,267.3289217687075
2012-06-28,267.3289217687075
2012-06-29,267.3289217687075
2012-07-02,332.9988525510204
2012-07-03,332.9988525510204
2012-07-04,332.9988525510204
2012-07-05,332.9988525510204
2012-07-06,332.9988525510204
2012-07-09,332.9988525510204
2012-07-10,332.9988525510204
2012-07-11,332.9988525510204
2012-07-12,332.9988525510204
2012-07-13,332.9988525510204
2012-07-16,332.9988525510204
2012-07-17,332.9988525510204
2012-07-18,332.9988525510204
2012-07-19,332.9988525510204
2012-07-20,332.9988525510204
2012-07-23,332.9988525510204
2012-07-24,332.9988525510204
2012-07-25,332.9988525510204
2012-07-26,332.9988525510204
2012-07-27,332.9988525510204
2012-07-30,332.9988525510204
2012-07-31,332.9988525510204
2012-08-01,332.2334953416149
2012-08-02,332.2334953416149
2012-08-03,332.2334953416149
2012-08-06,332.2334953416149
2012-08-07,332.2334953416149
2012-08-08,332.2334953416149
2012-08-09,332.2334953416149
2012-08-10,332.2334953416149
2012-08-13,332.2334953416149
2012-08-14,332.2334953416149
2012-08-15,332.2334953416149
2012-08-16,332.2334953416149
2012-08-17,332.2334953416149
2012-08-20,332.2334953416149
2012-08-21,332.2334953416149
2012-08-22,332.2334953416149
2012-08-23,332.2334953416149
2012-08-24,332.2334953416149
2012-08-27,332.2334953416149
2012-08-28,332.2334953416149
2012-08-29,332.2334953416149
2012-08-30,332.2334953416149
2012-08-31,332.2334953416149
2012-09-03,320.7059056390978
2012-09-04,320.7059056390978
2012-09-05,320.7059056390978
2012-09-06,320.7059056390978
2012-09-07,320.7059056390978
2012-09-10,320.7059056390978
2012-09-11,320.7059056390978
2012-09-12,320.7059056390978
2012-09-13,320.7059056390978
2012-09-14,320.7059056390978
2012-09-17,320.7059056390978
2012-09-18,320.7059056390978
2012-09-19,320.7059056390978
2012-09-20,320.7059056390978
2012-09-21,320.7059056390978
2012-09-24,320.7059056390978
2012-09-25,320.7059056390978
2012-09-26,320.7059056390978
2012-09-27,320.7059056390978
2012-09-28,320.7059056390978
2012-10-01,321.3824173214286
2012-10-02,321.3824173214286
2012-10-03,321.3824173214286
2012-10-04,321.3824173214286
2012-10-05,321.3824173214286
2012-10-08,321.3824173214286
2012-10-09,321.3824173214286
2012-10-10,321.3824173214286
2012-10-11,321.3824173214286
2012-10-12,321.3824173214286
2012-10-15,321.3824173214286
2012-10-16,321.3824173214286
2012-10-17,321.3824173214286
2012-10-18,321.3824173214286
2012-10-19,321.3824173214286
2012-10-22,321.3824173214286
2012-10-23,321.3824173214286
2012-10-24,321.3824173214286
2012-10-25,321.3824173214286
2012-10-26,321.3824173214286
2012-10-29,321.3824173214286
2012-10-30,321.3824173214286
2012-10-31,321.3824173214286
2012-11-01,321.5968704887218
2012-11-02,321.5968704887218
2012-11-05,321.5968704887218
2012-11-06,321.5968704887218
2012-11-07,321.5968704887218
2012-11-08,321.5968704887218
2012-11-09,321.5968704887218
2012-11-12,321.5968704887218
2012-11-13,321.5968704887218
2012-11-14,321.5968704887218
2012-11-15,321.5968704887218
2012-11-16,321.5968704887218
2012-11-19,321.5968704887218
2012-11-20,321.5968704887218
2012-11-21,321.5968704887218
2012-11-22,321.5968704887218
2012-11-23,321.5968704887218
2012-11-26,321.5968704887218
2012-11-27,321.5968704887218
2012-11-28,321.5968704887218
2012-11-29,321.5968704887218
2012-11-30,321.5968704887218
2012-12-03,308.7504005639098
2012-12-04,308.7504005639098
2012-12-05,308.7504005639098
2012-12-06,308.7504005639098
2012-12-07,308.7504005639098
2012-12-10,308.7504005639098
2012-12-11,308.7504005639098
2012-12-12,308.7504005639098
2012-12-13,308.7504005639098
2012-12-14,308.7504005639098
2012-12-17,308.7504005639098
2012-12-18,308.7504005639098
2012-12-19,308.7504005639098
2012-12-20,308.7504005639098
2012-12-21,308.7504005639098
2012-12-24,308.7504005639098
2012-12-25,308.7504005639098
2012-12-26,308.7504005639098
2012-12-27,308.7504005639098
2012-12-28,308.7504005639098
2012-12-31,308.7504005639098
2013-01-01,303.3602112244898
2013-01-02,303.3602112244898
2013-01-03,303.3602112244898
2013-01-04,303.3602112244898
2013-01-07,303.3602112244898
2013-01-08,303.3602112244898
2013-01-09,303.3602112244898
2013-01-10,303.3602112244898
2013-01-11,303.3602112244898
2013-01-14,303.3602112244898
2013-01-15,303.3602112244898
2013-01-16,303.3602112244898
2013-01-17,303.3602112244898
2013-01-18,303.3602112244898
2013-01-21,303.3602112244898
2013-01-22,303.3602112244898
2013-01-23,303.3602112244898
2013-01-24,303.3602112244898
2013-01-25,303.3602112244898
2013-01-28,303.3602112244898
2013-01-29,303.3602112244898
2013-01-30,303.3602112244898
2013-01-31,303.3602112244898
2013-02-01,302.6103404761907
