Date,Price
2015-06-25,199.8354416666666
2015-06-26,199.8354416666666
2015-06-29,199.8354416666666
2015-06-30,199.8354416666666
2015-07-01,199.21748
2015-07-02,199.21748
2015-07-03,199.21748
2015-07-06,199.21748
2015-07-07,199.21748
2015-07-08,199.21748
2015-07-09,199.21748
2015-07-10,199.21748
2015-07-13,199.21748
2015-07-14,199.21748
2015-07-15,199.21748
2015-07-16,199.21748
2015-07-17,199.21748
2015-07-20,199.21748
2015-07-21,199.21748
2015-07-22,199.21748
2015-07-23,199.21748
2015-07-24,199.21748
2015-07-27,199.21748
2015-07-28,199.21748
2015-07-29,199.21748
2015-07-30,199.21748
2015-07-31,199.21748
2015-08-03,173.5175915873016
2015-08-04,173.5175915873016
2015-08-05,173.5175915873016
2015-08-06,173.5175915873016
2015-08-07,173.5175915873016
2015-08-10,173.5175915873016
2015-08-11,173.5175915873016
2015-08-12,173.5175915873016
2015-08-13,173.5175915873016
2015-08-14,173.5175915873016
2015-08-17,173.5175915873016
2015-08-18,173.5175915873016
2015-08-19,173.5175915873016
2015-08-20,173.5175915873016
2015-08-21,173.5175915873016
2015-08-24,173.5175915873016
2015-08-25,173.5175915873016
2015-08-26,173.5175915873016
2015-08-27,173.5175915873016
2015-08-28,173.5175915873016
2015-08-31,173.5175915873016
2015-09-01,164.0692201587302
2015-09-02,164.0692201587302
2015-09-03,164.0692201587302
2015-09-04,164.0692201587302
2015-09-07,164.0692201587302
2015-09-08,164.0692201587302
2015-09-09,164.0692201587302
2015-09-10,164.0692201587302
2015-09-11,164.0692201587302
2015-09-14,164.0692201587302
2015-09-15,164.0692201587302
2015-09-16,164.0692201587302
2015-09-17,164.0692201587302
2015-09-18,164.0692201587302
2015-09-21,164.0692201587302
2015-09-22,164.0692201587302
2015-09-23,164.0692201587302
2015-09-24,164.0692201587302
2015-09-25,164.0692201587302
2015-09-28,164.0692201587302
2015-09-29,164.0692201587302
2015-09-30,164.0692201587302
2015-10-01,165.4514819047619
2015-10-02,165.4514819047619
2015-10-05,165.4514819047619
2015-10-06,165.4514819047619
2015-10-07,165.4514819047619
2015-10-08,165.4514819047619
2015-10-09,165.4514819047619
2015-10-12,165.4514819047619
2015-10-13,165.4514819047619
2015-10-14,165.4514819047619
2015-10-15,165.4514819047619
2015-10-16,165.4514819047619
2015-10-19,165.4514819047619
2015-10-20,165.4514819047619
2015-10-21,165.4514819047619
2015-10-22,165.4514819047619
2015-10-23,165.4514819047619
2015-10-26,165.4514819047619
2015-10-27,165.4514819047619
2015-10-28,165.4514819047619
2015-10-29,165.4514819047619
2015-10-30,165.4514819047619
2015-11-02,157.8043789473684
2015-11-03,157.8043789473684
2015-11-04,157.8043789473684
2015-11-05,157.8043789473684
2015-11-06,157.8043789473684
2015-11-09,157.8043789473684
2015-11-10,157.8043789473684
2015-11-11,157.8043789473684
2015-11-12,157.8043789473684
2015-11-13,157.8043789473684
2015-11-16,157.8043789473684
2015-11-17,157.8043789473684
2015-11-18,157.8043789473684
2015-11-19,157.8043789473684
2015-11-20,157.8043789473684
2015-11-23,157.8043789473684
2015-11-24,157.8043789473684
2015-11-25,157.8043789473684
2015-11-26,157.8043789473684
2015-11-27,157.8043789473684
2015-11-30,157.8043789473684
2015-12-01,163.893455
2015-12-02,163.893455
2015-12-03,163.893455
2015-12-04,163.893455
2015-12-07,163.893455
2015-12-08,163.893455
2015-12-09,163.893455
2015-12-10,163.893455
